Word,Pronunciation,Root Word Returned,Missing
soon, suːn sun,0,0
sooner, suːn suːn suːn sun,1,0
sooners,,0,1
soonest, suːn suːn suːn sun,1,0
soot, sʊt sʊt,0,0
soothe, suːð suːð suð,0,0
soothed, suːð suːð,0,0
soothes, suːð suːð suð,1,0
soothing, ˈsuːðɪŋ ˈsuːðɪŋ,0,0
soothingly, ˈsuːðɪŋli,0,0
soothsayer, ˈsuːθˌseɪɚ,0,0
soothsayers, ˈsuːθˌseɪɚ,1,0
sooty, ˈsʊt̬i ˈsʊt̬i,0,0
sop, sɑːp sɑp,0,0
sophia,,0,1
sophisticate, səˈfɪstəkət,0,0
sophisticated, səˈfɪstəkeɪt̬ɪd səˈfɪstəkeɪt̬ɪd səˈfɪs·tɪˌkeɪ·t̬ɪd səˈfɪs·tɪˌkeɪ·t̬ɪd,0,0
sophisticates, səˈfɪstəkət,1,0
sophistication, səˌfɪstəˈkeɪʃən səˌfɪs·tɪˈkeɪ·ʃən səˌfɪs·tɪˈkeɪ·ʃən,0,0
sophocles,,0,1
sophomore," ˈsɑːfəmɔːr ˈsɑfˌə·mɔr, -ˌmoʊr",0,0
sophomores," ˈsɑːfəmɔːr ˈsɑfˌə·mɔr, -ˌmoʊr",1,0
sophomoric," ˌsɑːfəˈmɔːrɪk sɑfˈə·mɔr·ɪk, -ˈmoʊr-",0,0
sophy,,0,1
sopping, ˈsɑːpɪŋ ˈsɑp·ɪŋ,0,0
soprano," səˈprænoʊ səˈprænoʊ səˈpræn·oʊ, -ˈprɑ·noʊ-",0,0
sopranos," səˈprænoʊ səˈprænoʊ səˈpræn·oʊ, -ˈprɑ·noʊ-",1,0
sops, sɑːp sɑp,1,0
sorbet, sɔːrˈbeɪ sɔrˈbeɪ,0,0
sorcerer, ˈsɔːrsɚɚ,0,0
sorcerers, ˈsɔːrsɚɚ,1,0
sorcery, ˈsɔːrsɚi ˈsɔr·sə·ri,0,0
sordid, ˈsɔːrdɪd ˈsɔːrdɪd ˈsɔrd·əd ˈsɔrd·əd,0,0
sore," sɔːr sɔːr sɔr, soʊr sɔr, soʊr",0,0
sorely, ˈsɔːrli ˈsɔr·li,0,0
sores," sɔːr sɔːr sɔr, soʊr sɔr, soʊr",1,0
sorghum, ˈsɔːrɡəm ˈsɔːrɡəm,0,0
sororities," səˈrɔːrət̬i səˈrɔr·ɪ·t̬i, -ˈrɑr-",1,0
sorority," səˈrɔːrət̬i səˈrɔr·ɪ·t̬i, -ˈrɑr-",0,0
sorrel, ˈsɔːrəl,0,0
sorrow," ˈsɔːroʊ ˈsɑr·oʊ, ˈsɔr-",0,0
sorrowful, ˈsɔːrəfəl,0,0
sorrows," ˈsɔːroʊ ˈsɑr·oʊ, ˈsɔr-",1,0
sorry," ˈsɔːri ˈsɔːri ˈsɑr·i, ˈsɔr·i ˈsɑr·i, ˈsɔr·i ˈsɑr·i, ˈsɔr·i ˈsɑr·i, ˈsɔr·i ˈsɑr·i, ˈsɔr·i",0,0
sort, sɔːrt sɔːrt sɔrt sɔrt,0,0
sorted, ˈsɔːrt̬ɪd,0,0
sorter,,0,1
sortie, ˈsɔːrt̬i ˈsɔːrt̬i ˈsɔːrt̬i,0,0
sorties, ˈsɔːrt̬i ˈsɔːrt̬i ˈsɔːrt̬i,1,0
sorting, sɔːrt sɔːrt,0,0
sorts, sɔːrt sɔːrt sɔːrt sɔːrt sɔrt sɔrt sɔrt,1,0
sos, ˌesoʊˈes ˈesˌoʊˈes,0,0
soss, ˌesoʊˈes ˈesˌoʊˈes,1,0
sot, sɑːt,0,0
souffle, suˈfleɪ,1,0
sought, sɑːt sɔt,0,0
souk, suːk,0,0
soul, soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl,0,0
soulful, ˈsoʊlfəl ˈsoʊlfəl ˈsoʊl·fəl,0,0
soulless, ˈsoʊlləs,0,0
souls, soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl soʊl,1,0
sound, saʊnd saʊnd saʊnd saʊnd saʊnd sɑʊnd sɑʊnd,0,0
sounded, saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd,0,0
sounder, saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd sɑʊnd sɑʊnd,1,0
soundest, saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd sɑʊnd sɑʊnd,1,0
sounding, saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd,0,0
soundings, ˈsaʊndɪŋz,0,0
soundly, ˈsaʊndli ˈsaʊndli ˈsɑʊnd·li,0,0
soundness, ˈsaʊndnəs ˈsaʊndnəs ˈsaʊndnəs,0,0
sounds, saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd saʊnd sɑʊnd sɑʊnd,1,0
soundtrack, ˈsaʊndtræk ˈsɑʊnd·træk,0,0
soundtracks, ˈsaʊndtræk ˈsɑʊnd·træk,1,0
soup, suːp sup,0,0
souped, ˌsuːptˈʌp ˈsuptˈʌp,1,0
soups, suːp sup,1,0
soupy, ˈsuːpi ˈsuːpi,0,0
sour, saʊr saʊr sɑʊər sɑʊər,0,0
source," sɔːrs sɔːrs sɔrs, soʊrs sɔrs, soʊrs",0,0
sources," sɔːrs sɔːrs sɔːrs sɔrs, soʊrs sɔrs, soʊrs",1,0
sourcing,,0,1
soured, saʊr saʊr,0,0
souring, saʊr saʊr,0,0
sours, saʊr saʊr sɑʊər sɑʊər,1,0
sous,,0,1
sousaphone, ˈsuːzəfoʊn,0,0
souter,,0,1
south, saʊθ sɑʊθ sɑʊθ sɑʊθ,0,0
southbound, ˈsaʊθbaʊnd,0,0
southdown,,0,1
southeast, ˌsaʊθˈiːst ˌsɑʊθˈist,0,0
southeastern, ˌsaʊθˈiːstɚn,0,0
souther,,0,1
southerly, ˈsʌðɚli,0,0
southern, ˈsʌðɚn,0,0
southerner, ˈsʌðɚnɚ ˈsʌð·ər·nər,0,0
southerners, ˈsʌðɚnɚ ˈsʌð·ər·nər,1,0
southernmost, ˈsʌðɚnmoʊst,0,0
southland,,0,1
southward, ˈsaʊθwɚd ˈsɑʊθ·wərd,0,0
southwest, ˌsaʊθˈwest ˌsɑʊθˈwest,0,0
southwestern, ˌsaʊθˈwestɚn,0,0
souvenir, ˌsuːvəˈnɪr ˌsu·vəˈnɪər,0,0
souvenirs, ˌsuːvəˈnɪr ˌsu·vəˈnɪər,1,0
sovereign," ˈsɑːvrən ˈsɑːvrən ˈsɑv·rən, ˈsɑv·ər·ən",0,0
sovereigns," ˈsɑːvrən ˈsɑːvrən ˈsɑːvrən ˈsɑv·rən, ˈsɑv·ər·ən",1,0
sovereignty," ˈsɑːvrəni ˈsɑv·rən·ti, ˈsɑv·ər·ən·ti",0,0
soviet," ˈsoʊviət ˈsoʊ·viˌet, -vi·ɪt ˈsoʊ·viˌet, -vi·ɪt",0,0
soviets,,0,1
sow, soʊ soʊ soʊ,0,0
sowed, soʊ soʊ soʊ,1,0
sower, ˈsoʊɚ ˈsoʊɚ,0,0
sowing, soʊ soʊ soʊ,1,0
sown,,0,1
sows, soʊ soʊ soʊ,1,0
sox, sɑːks,0,0
soy, sɔɪ sɔɪ,0,0
soya, ˈsɔɪə,0,0
soybean, ˈsɔɪbiːn ˈsɔɪˌbin,0,0
soybeans, ˈsɔɪbiːn ˈsɔɪˌbin,1,0
spa, spɑː spɑː spɑ,0,0
space, speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs,0,0
spacecraft, ˈspeɪskræft speɪsˌkræft,0,0
spaced, speɪs,0,0
spaceport,,0,1
spacer, ˈspeɪsɚ ˈspeɪsɚ,0,0
spacers,,0,1
spaces, speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs speɪs,1,0
spaceship, ˈspeɪsʃɪp,0,0
spaceships, ˈspeɪskræft speɪsˌkræft,1,0
spacesuit, ˈspeɪssuːt,0,0
spacesuits, ˈspeɪssuːt,1,0
spacey, ˈspeɪsi,0,0
spacial, ˈspeɪʃəl,0,0
spacing, ˈspeɪsɪŋ ˈspeɪsɪŋ ˈspeɪ·sɪŋ ˈspeɪ·sɪŋ,0,0
spacious, ˈspeɪʃəs ˈspeɪ·ʃəs,0,0
spackle, ˈspækəl,0,0
spade, speɪd speɪd speɪd speɪd,0,0
spader,,0,1
spades, speɪdz,0,0
spadework, ˈspeɪdwɝːk,0,0
spaghetti, spəˈɡet̬i spəˈɡet̬·i,0,0
spain, speɪn,0,0
spake, speɪk,0,0
spalding,,0,1
spall,,0,1
spam, spæm spæm,0,0
span, spæn spæn spæn spæn spæn,0,0
spandex, ˈspændeks,0,0
spangle, ˈspæŋɡəl ˈspæŋ·ɡəl,0,0
spangled, ˈspæŋɡəld,0,0
spangler,,0,1
spaniard, ˈspænjɚd,0,0
spaniards, ˈspænjɚd,1,0
spaniel, ˈspænjəl ˈspæn·jəl,0,0
spanish, ˈspænɪʃ ˈspænɪʃ,0,0
spank, spæŋk spæŋk spæŋk,0,0
spanked, spæŋk spæŋk,0,0
spanking, ˈspæŋkɪŋ,0,0
spanky,,0,1
spann,,0,1
spanned,,0,1
spanner, ˈspænɚ ˈspæn·ər,0,0
spanning,,0,1
spans, spæn spæn spæn spæn spæn spæn,1,0
spar, spɑːr spɑːr spɑr spɑr,0,0
spare, sper sper sper speər speər speər,0,0
spared, sper sper sper sper sper sper sper,0,0
spares, sper sper sper sper sper sper sper sper sper speər speər speər,1,0
sparing, ˈsperɪŋ ˈspeər·ɪŋ,0,0
sparingly, ˈsperɪŋli,0,0
spark, spɑːrk spɑːrk spɑːrk spɑːrk spɑrk spɑrk,0,0
sparked, spɑːrk,0,0
sparking, spɑːrk,0,0
sparkle, ˈspɑːrkəl ˈspɑːrkəl ˈspɑr·kəl ˈspɑr·kəl,0,0
sparkled, ˈspɑːrkəl ˈspɑːrkəl,0,0
sparkles, ˈspɑːrkəl ˈspɑːrkəl ˈspɑr·kəl ˈspɑr·kəl,1,0
sparkling," ˈspɑːrklɪŋ ˈspɑːrklɪŋ ˈspɑːrklɪŋ ˈspɑr·kə·lɪŋ, ˈspɑrk·lɪŋ ˈspɑr·kə·lɪŋ, ˈspɑrk·lɪŋ",0,0
sparkly, ˈspɑːrkəli,0,0
sparks, spɑːrk spɑːrk spɑːrk spɑːrk spɑrk spɑrk,1,0
sparky, ˈspɑːrki,0,0
sparred,,0,1
sparring,,0,1
sparrow, ˈsperoʊ ˈspær·oʊ,0,0
sparrows, ˈsperoʊ ˈspær·oʊ,1,0
sparse, spɑːrs spɑrs,0,0
sparsely, ˈspɑːrsli,0,0
sparta,,0,1
