Word,Pronunciation,Root Word Returned,Missing
sluts, slʌt slʌt,1,0
slutty, ˈslʌt̬ɪʃ ˈslʌt̬ɪʃ,1,0
sly, slaɪ slaɪ slɑɪ,0,0
slyly, ˈslaɪli ˈslaɪli,0,0
smack, smæk smæk smæk,0,0
smacked, smæk smæk,1,0
smacking, smæk smæk,1,0
smacks, smæk smæk smæk,1,0
small, smɑːl smɑːl smɑːl smɑːl smɑːl smɑːl smɔl smɔl smɔl smɔl smɔl,1,0
smaller, smɑːl smɑːl smɑːl smɑːl smɑːl smɑːl smɑːl smɑːl smɔl smɔl smɔl smɔl smɔl smɔl,1,0
smallest, smɑːl smɑːl smɑːl smɑːl smɑːl smɑːl smɑːl smɑːl smɔl smɔl smɔl smɔl smɔl smɔl,1,0
smallish, ˈsmɑːlɪʃ,0,0
smallness, ˈsmɑːlnəs ˈsmɑːlnəs ˈsmɑːlnəs,0,0
smallpox, ˈsmɑːlpɑːks ˈsmɔlˌpɑks,0,0
smalls,,1,0
smarmy, ˈsmɑːrmi,0,0
smart, smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑrt smɑrt smɑrt,1,0
smartass,,0,0
smarten, ˈsmɑːrtən ˈsmɑːrtən,1,0
smartened, ˈsmɑːrtən ˈsmɑːrtən,1,0
smartening, ˈsmɑːrtən ˈsmɑːrtən,1,0
smarter, smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑrt smɑrt smɑrt,1,0
smartest, smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑːrt smɑrt smɑrt smɑrt,1,0
smarties,,0,0
smarting, smɑːrt smɑːrt,1,0
smartly, ˈsmɑːrtli ˈsmɑːrtli ˈsmɑrt·li ˈsmɑrt·li,0,0
smartness, ˈsmɑːrtnəs ˈsmɑːrtnəs ˈsmɑːrtnəs,0,0
smarts, smɑːrts,0,0
smarty, ˈsmɑːrt̬ipænts,1,0
smash, smæʃ smæʃ smæʃ smæʃ smæʃ smæʃ smæʃ smæʃ,0,0
smashed, smæʃt,0,0
smasher, ˈsmæʃɚ,0,0
smashes, smæʃ smæʃ smæʃ smæʃ smæʃ smæʃ smæʃ smæʃ,1,0
smashing, ˈsmæʃɪŋ,0,0
smattering, ˈsmæt̬ɚɪŋ ˈsmæt̬·ər·ɪŋ,0,0
smear, smɪr smɪr smɪər smɪər,1,0
smeared, smɪr smɪr,1,0
smearing, smɪr smɪr,1,0
smears, smɪr smɪr smɪər smɪər,1,0
smee,,0,0
smell, smel smel smel smel smel smel smel,0,0
smelled, smel smel smel smel smel smel smel smel,1,0
smelling,  -smelɪŋ,1,0
smells, smel smel smel smel smel smel smel smel,1,0
smelly, ˈsmeli ˈsmel·i,0,0
smelt, smelt smelt smelt,0,0
smelter, ˈsmeltɚ -ṱɚ,0,0
smelters, ˈsmeltɚ -ṱɚ,1,0
smelting, ˈsmeltɪŋ,0,0
smidgen, ˈsmɪdʒɪn ˈsmɪdʒ·ən,0,0
smile, smaɪl smɑɪl,0,0
smiled, smaɪl smaɪl,1,0
smiles, smaɪl smɑɪl,1,0
smiley, ˈsmaɪli,0,0
smiling, ˈsmaɪlɪŋ,0,0
smilingly, ˈsmaɪlɪŋli,0,0
smirk, smɝːk smɜrk,0,0
smirking, smɝːk,1,0
smirks, smɝːk smɜrk,1,0
smit,,0,0
smith, smɪθ,0,0
smither,,0,0
smithereen,,0,0
smithereens, ˌsmɪðəˈriːnz ˌsmɪð·əˈrinz,0,0
smithers,,0,0
smithfield, ˌsmɪθfiːld ˈhæm,1,0
smiths, ˌɡræni ˈsmɪθ,1,0
smitten, ˈsmɪt̬ən ˈsmɪt·ən,0,0
smock, smɑːk smɑk,0,0
smog," smɑːɡ smɑɡ, smɔɡ",0,0
smoggy, ˈsmɑːɡi,0,0
smoke, smoʊk smoʊk smoʊk smoʊk smoʊk,0,0
smoked, smoʊkt smoʊkt,0,0
smokeless, ˈsmoʊkləs ˈsmoʊk·ləs ˈsmoʊk·ləs,0,0
smoker, ˈsmoʊkɚ ˈsmoʊkɚ ˈsmoʊ·kər,0,0
smokers, ˈsmoʊkɚ ˈsmoʊkɚ ˈsmoʊ·kər,1,0
smokes, smoʊk smoʊk smoʊk smoʊk smoʊk smoʊk smoʊk smoʊk,1,0
smokescreen, ˈsmoʊkskriːn ˈsmoʊkskriːn,1,0
smokestack, ˈsmoʊkstæk ˈsmoʊkˌstæk,1,0
smokestacks, ˈsmoʊkstæk ˈsmoʊkˌstæk,1,0
smokey, ˈsmoʊki ˈsmoʊki ˈsmoʊ·ki ˈsmoʊ·ki,1,0
smoking, ˈsmoʊkɪŋ ˈsmoʊ·kɪŋ,0,0
smoky, ˈsmoʊki ˈsmoʊki ˈsmoʊ·ki ˈsmoʊ·ki,0,0
smoldering, ˈsmoʊldɚ,1,0
smooch, smutʃ,1,0
smooches, smutʃ,1,0
smoot,,0,0
smooth, smuːð smuːð smuːð smuːð smuð smuð smuð,1,0
smoothed, smuːð smuːð smuːð,1,0
