Word,Pronunciation,Root Word Returned,Missing
spoonful, ˈspuːnfʊl ˈspun·fʊl,0,0
spoonfuls, ˈspuːnfʊl ˈspun·fʊl,1,0
spoons, spuːn spuːn spuːn spun,1,0
spoor, spʊr,0,0
sporadic, spəˈrædɪk spəˈræd·ɪk,0,0
sporadically, spəˈrædɪkəli,0,0
spore," spɔːr spɔr, spoʊr",0,0
spores," spɔːr spɔr, spoʊr",1,0
sport," spɔːrt spɔːrt spɔːrt spɔːrt spɔːrt spɔːrt spɔrt, spoʊrt spɔrt, spoʊrt",0,0
sported, spɔːrt,1,0
sporting," ˈspɔːrtɪŋ ˈspɔːrtɪŋ ˈspɔrt̬·ɪŋ, ˈspoʊrt̬-",0,0
sportingly, ˈspɔːrt̬ɪŋli,0,0
sports," spɔːrts spɔrts, spoʊrts",0,0
sportscaster, ˈspɔːrtsˌkæst̬ɚ ˈspɔrtsˌkæs·tər,0,0
sportscasters, ˈspɔːrtsˌkæst̬ɚ ˈspɔrtsˌkæs·tər,1,0
sportsman, ˈspɔːrtsmən ˈspɔːrtsmən,0,0
sportsmanship," ˈspɔːrtsmənʃɪp ˈspɔrts·mənˌʃɪp, ˈspoʊrts-",0,0
sportsmen, ˈspɔːrtsmən ˈspɔːrtsmən,1,0
sportswear, ˈspɔːrtswer ˈspɔrtsˌweər,0,0
sportswriter, ˈspɔːrtsˌraɪt̬ɚ,0,0
sporty," ˈspɔːrt̬i ˈspɔːrt̬i ˈspɔːrt̬i ˈspɔrt̬·i, ˈspoʊrt̬·i",0,0
spot, spɑːt spɑːt spɑːt spɑːt spɑːt spɑːt spɑt spɑt spɑt spɑt spɑt spɑt,1,0
spotless, ˈspɑːtləs ˈspɑt·ləs ˈspɑt·ləs,0,0
spotlight, ˈspɑːtlaɪt ˈspɑtˌlɑɪt,0,0
spotlights, ˈspɑːtlaɪt ˈspɑːtlaɪt ˈspɑtˌlɑɪt,1,0
spots, spɑːt spɑːt spɑːt spɑːt spɑːt spɑːt spɑːt spɑːt spɑːt spɑːt spɑt spɑt spɑt spɑt spɑt spɑt,1,0
spotted, ˈspɑːt̬ɪd,0,0
spotter, ˈspɑːt̬ɚ ˈspɑːt̬ɚ ˈspɑːt̬ɚ ˈspɑːt̬ɚ ˈspɑːt̬ɚ,0,0
spotters, ˈspɑːt̬ɚ ˈspɑːt̬ɚ ˈspɑːt̬ɚ ˈspɑːt̬ɚ ˈspɑːt̬ɚ  -spɑːt̬ɚ,1,0
spotting,  -spɑːt̬ɪŋ,1,0
spotty, ˈspɑːt̬i ˈspɑːt̬i,0,0
spousal, ˈspaʊzəl,0,0
spouse, spaʊs spɑʊs,0,0
spouses, spaʊs spɑʊs,1,0
spout, spaʊt spaʊt spɑʊt spɑʊt,0,0
spouted, spaʊt spaʊt,1,0
spouting, spaʊt spaʊt,1,0
spouts, spaʊt spaʊt spɑʊt spɑʊt,1,0
sprain, spreɪn spreɪn,0,0
sprained, spreɪn,1,0
sprains, spreɪn spreɪn,1,0
