Word,Pronunciation,Root Word Returned,Missing
unforgivable, ˌʌnfɚˈɡɪvəbəl,0,0
unforgiven,,0,1
unforgiving, ˌʌnfɚˈɡɪvɪŋ ˌʌnfɚˈɡɪvɪŋ ˌʌnfɚˈɡɪvɪŋ,0,0
unformed,,0,1
unfortunate, ʌnˈfɔːrtʃənət ʌnˈfɔːrtʃənət ʌnˈfɔr·tʃə·nət ʌnˈfɔr·tʃə·nət,0,0
unfortunately, ʌnˈfɔːrtʃənətli,0,0
unfortunates, ʌnˈfɔːrtʃənət ʌnˈfɔːrtʃənət ʌnˈfɔr·tʃə·nət ʌnˈfɔr·tʃə·nət,1,0
unfounded, ʌnˈfaʊndɪd ʌnˈfɑʊn·dɪd,0,0
unfriendly, ʌnˈfrendli ʌnˈfrend·li,0,0
unfrozen, ʌnˈfroʊzən ʌnˈfroʊzən ʌnˈfroʊzən,0,0
unfulfilled, ˌʌnfʊlˈfɪld ˌʌnfʊlˈfɪld,0,0
unfurl, ʌnˈfɝːl ʌnˈfɜrl,0,0
unfurled, ʌnˈfɝːl,1,0
unfurling, ʌnˈfɝːl,1,0
ung,,0,1
ungainly, ʌnˈɡeɪnli ʌnˈɡeɪn·li,0,0
unglamorous, ʌnˈɡlæməəs,0,0
unglued,,0,1
ungodly, ʌnˈɡɑːdli,0,0
ungovernable, ʌnˈɡʌvɚnəbəl,0,0
ungrateful, ʌnˈɡreɪtfəl ʌnˈɡreɪt·fəl,0,0
unguarded, ʌnˈɡɑːrdɪd ʌnˈɡɑːrdɪd,0,0
unhappily, ʌnˈhæpəli,0,0
unhappiness, ʌnˈhæpinəs,0,0
unhappy, ʌnˈhæpi ʌnˈhæp·i ʌnˈhæp·i,0,0
unharmed, ʌnˈhɑːrmd,0,0
unhealthy, ʌnˈhelθi ʌnˈhelθi ʌnˈhelθi ʌnˈhel·θi ʌnˈhel·θi,0,0
unheard,,0,1
unheeded, ˌʌnˈhiːdɪd,0,0
unhelpful, ʌnˈhelpfəl ʌnˈhelpfəl,0,0
unhesitatingly,,0,1
unhindered, ʌnˈhɪndɚd,0,0
unhinge, ʌnˈhɪndʒ,0,0
unhinged, ʌnˈhɪndʒd,0,0
unhitch,,0,1
unholy, ʌnˈhoʊli ʌnˈhoʊli ʌnˈhoʊli,0,0
unhook,,0,1
unhorsed,,0,1
unhurt, ʌnˈhɝːt,0,0
uni, ˈjuːni,0,0
unicellular, ˌjuːnɪˈseljəlɚ ˌju·nəˈsel·jə·lər,0,0
unicorn, ˈjuːnɪkɔːrn ˈjuːnɪkɔːrn ˈjuːnɪkɔːrn ˈju·nɪˌkɔrn,0,0
unicycle, ˈjuːnəˌsaɪkəl,0,0
unidentified, ˌʌnaɪˈdent̬əfaɪd ˌʌn·ɑɪˈdent·əˌfɑɪd,0,0
unification, ˌjuːnəfəˈkeɪʃən ˌju·nə·fəˈkeɪ·ʃən,0,0
unified, ˈjuːnəfaɪd,0,0
