Word,Pronunciation,Root Word Returned,Missing
sundays," ˈsʌndeɪ ˈsʌn·deɪ, -di",1,0
sunder, ˈsʌndɚ,0,0
sundial, ˈsʌndaɪl ˈsʌnˌdɑɪl,0,0
sundown, ˈsʌndaʊn,0,0
sundry, ˈsʌndri ˈsʌn·dri,0,0
sunfish, ˈsʌnfɪʃ ˈsʌnfɪʃ,0,0
sunflower," ˈsʌnˌflaʊɚ ˈsʌnˌflɑʊ·ər, -flɑʊər",0,0
sunflowers," ˈsʌnˌflaʊɚ ˈsʌnˌflɑʊ·ər, -flɑʊər",1,0
sung, sʌŋ sʌŋ,0,0
sunglass,,0,1
sunglasses, ˈsʌnˌɡlæsɪz ˈsʌnˌɡlæs·əs,0,0
sunk, sʌŋk sʌŋk,0,0
sunken, ˈsʌŋkən ˈsʌŋkən ˈsʌŋkən ˈsʌŋ·kən,0,0
sunlight, ˈsʌnlaɪt ˈsʌnˌlɑɪt,0,0
sunlit, ˈsʌnlɪt ˈsʌnˌlɪt,0,0
sunni," ˈsʊni ˈsʊn·i, ˈsu·ni",0,0
sunning,,0,1
sunny, ˈsʌni ˈsʌni ˈsʌn·i ˈsʌn·i,0,0
sunrise, ˈsʌnraɪz ˈsʌnraɪz ˈsʌnˌrɑɪz ˈsʌnˌrɑɪz,0,0
sunroof, ˈsʌnruːf,0,0
sunroom, ˈsʌnruːm,0,0
suns," ˈsʌndeɪ ˈsʌn·deɪ, -di",1,0
sunscreen, ˈsʌnskriːn ˈsʌnˌskrin,0,0
sunscreens, ˈsʌnskriːn ˈsʌnˌskrin,1,0
sunset, ˈsʌnset ˈsʌnset ˈsʌnˌset ˈsʌnˌset,0,0
sunsets, ˈsʌnset ˈsʌnset ˈsʌnˌset ˈsʌnˌset,1,0
sunshine, ˈsʌnʃaɪn ˈsʌnʃaɪn ˈsʌnʃaɪn ˈsʌnˌʃɑɪn,0,0
sunshiny,,0,1
sunspot, ˈsʌnspɑːt,0,0
sunspots, ˈsʌnspɑːt,1,0
suntan, ˈsʌntæn ˈsʌnˌtæn,0,0
sunup, ˈsʌnʌp,0,0
sup, sʌp,0,0
super, ˈsuːpɚ ˈsu·pər,0,0
superb, suːˈpɝːb sʊˈpɜrb,0,0
superbly, suːˈpɝːbli,0,0
supercharge, ˈsuːpɚtʃɑːrdʒ ˈsuːpɚtʃɑːrdʒ,0,0
supercharged, ˈsuːpɚtʃɑːrdʒd ˈsuːpɚtʃɑːrdʒd,0,0
supercilious, ˌsuːpɚˈsɪliəs,0,0
supercomputer,,0,1
supercomputers,,0,1
superconducting,,0,1
superconductivity, ˌsuːpɚkɑːndʌkˈtɪvət̬i,0,0
superconductor, ˈsuːpɚkənˌdʌktɚ,0,0
superconductors, ˈsuːpɚkənˌdʌktɚ,1,0
supercool,,0,1
supercooled, ˌsuːpəˈkuːld,0,0
superficial, ˌsuːpɚˈfɪʃəl ˌsuːpɚˈfɪʃəl ˌsuːpɚˈfɪʃəl ˌsuːpɚˈfɪʃəl ˌsu·pərˈfɪʃ·əl ˌsu·pərˈfɪʃ·əl ˌsu·pərˈfɪʃ·əl ˌsu·pərˈfɪʃ·əl,0,0
