Word,Pronunciation,Root Word Returned,Missing
mush, mʌʃ mʌʃ mʌʃ mʌʃ,0,0
musher, ˈmʌʃɚ,0,0
mushers,,0,1
mushroom," ˈmʌʃruːm ˈmʌʃruːm ˈmʌʃ·rum, -rʊm",0,0
mushroomed, ˈmʌʃruːm,0,0
mushrooming, ˈmʌʃruːm,0,0
mushrooms," ˈmʌʃruːm ˈmʌʃruːm ˈmʌʃ·rum, -rʊm",1,0
mushy, ˈmʌʃi ˈmʌʃi,0,0
music, ˈmjuːzɪk ˈmjuːzɪk ˈmjuːzɪk ˈmju·zɪk,0,0
musica,,0,1
musical, ˈmjuːzɪkəl ˈmjuːzɪkəl ˈmju·zɪ·kəl,0,0
musicality, mjuːzɪˈkælət̬i,0,0
musically, ˈmjuːzɪkəli ˈmjuːzɪkəli,0,0
musicals, ˈmjuːzɪkəl ˈmjuːzɪkəl ˈmju·zɪ·kəl,1,0
musician, mjuːˈzɪʃən mjʊˈzɪʃ·ən,0,0
musicians, mjuːˈzɪʃən mjʊˈzɪʃ·ən,1,0
musicianship, mjuːˈzɪʃənʃɪp,0,0
musicologist, ˌmjuːzɪˈkɑːlədʒɪst,0,0
musics,,0,1
musing, mjuːz,0,0
musings, ˈmjuːzɪŋz,0,0
musk, mʌsk mʌsk,0,0
musket, ˈmʌskɪt ˈmʌs·kɪt,0,0
musketeer, ˌmʌskəˈtɪr ˌmʌskəˈtɪr,0,0
musketeers, ˌmʌskəˈtɪr ˌmʌskəˈtɪr,1,0
muskie,,0,1
muskogee,,0,1
muskrat,,0,1
muskrats,,0,1
musky, ˈmʌski,0,0
muslim," ˈmɑːzlem ˈmʌz·lɪm, ˈmʊs-, ˈmʊz-",0,0
muslims," ˈmɑːzlem ˈmʌz·lɪm, ˈmʊs-, ˈmʊz-",1,0
muslin, ˈmʌzlɪn ˈmʌzlɪn ˈmʌzlɪn ˈmʌz·lɪn,0,0
mussel, ˈmʌsəl ˈmʌs·əl,0,0
mussels, ˈmʌsəl ˈmʌs·əl,1,0
mussolini,,0,1
must," strong mʌst strong mʌst strong mʌst strong mʌst strong mʌst mʌst, məst mʌst, məst mʌst, məst mʌst, məst",0,0
mustache," ˈmʌstæʃ ˈmʌs·tæʃ, məˈstæʃ",0,0
mustached,,0,1
mustaches," ˈmʌstæʃ ˈmʌs·tæʃ, məˈstæʃ",1,0
mustachio, məˈstæʃioʊ,0,0
mustachioed, məˈstæʃioʊd,0,0
mustang, ˈmʌstæŋ,0,0
mustangs, ˈmʌstæŋ,1,0
mustard, ˈmʌstɚd ˈmʌstɚd ˈmʌstɚd ˈmʌs·tərd,0,0
mustards,,0,1
muster, ˈmʌstɚ ˈmʌstɚ ˈmʌs·tər ˈmʌs·tər,0,0
mustered, ˈmʌstɚ ˈmʌstɚ,0,0
mustering, ˈmʌstɚ ˈmʌstɚ,0,0
musters, ˈmʌstɚ ˈmʌstɚ ˈmʌs·tər ˈmʌs·tər,1,0
musty, ˈmʌsti ˈmʌs·ti,0,0
mutable, ˈmjuːt̬əbəl,0,0
mutagen,,0,1
mutant, ˈmjuːtənt ˈmjuːtənt ˈmju·t̬ənt,0,0
mutants, ˈmjuːtənt ˈmjuːtənt ˈmju·t̬ənt,1,0
mutate, mjuːˈteɪt mjuːˈteɪt ˈmju·teɪt,0,0
mutated, mjuːˈteɪt mjuːˈteɪt,0,0
mutating, mjuːˈteɪt mjuːˈteɪt,0,0
mutation, mjuːˈteɪʃən mjuːˈteɪʃən mjuˈteɪ·ʃən,0,0
mutations, mjuːˈteɪʃən mjuːˈteɪʃən mjuˈteɪ·ʃən,1,0
mute, mjuːt mjuːt mjut,0,0
muted, ˈmjuːt̬ɪd ˈmjuːt̬ɪd ˈmjuːt̬ɪd ˈmju·t̬ɪd ˈmju·t̬ɪd,0,0
mutes, mjuːt mjuːt mjuːt mjut,1,0
muth,,0,1
mutilate, ˈmjuːt̬əleɪt ˈmjuːt̬əleɪt ˈmju·təlˌeɪt,0,0
mutilated, ˈmjuːt̬əleɪt ˈmjuːt̬əleɪt,0,0
